jour,hippo,R,C,numcourse,cl,dist,partant,typec,numero,cheque,cheval,sexe,age,cotedirect,coteprob,recence,ecurie,distpoids,ecar,redkm,handiecords,corde,defoeil,recul,gains,musiquept,musiqueche,m1,m2,m3,m4,m5,m6,jockey,musiquejoc,montesdujockeyjour,couruejockeyjour,victoirejockeyjour,entraineur,musiqueent,monteentraineurjour,courueentraineurjour,victoireentraineurjour,coursescheval,victoirescheval,placescheval,coursesentraineur,victoiresentraineur,placeentraineur,coursesjockey,victoiresjockey,placejockey,dernierhippo,dernierealloc,derniernbpartants,dernieredist,derniereplace,dernierecote,dernierJoc,dernierEnt,dernierProp,proprietaire,nbcoursepropjour,europ,amat,arrive,txrecl,pays,meteo,lice,natpis,pistegp,prix,poidmont,pourcVictEntHippo,pourcPlaceEntHippo,pourcVictJock,pourcPlaceJock,pourcVictJockHippo,pourcPlaceJockHippo,pourcVictChevalHippo,pourcPlaceChevalHippo,nbrCourseJockHippo,nbrCourseEntHippo,nbrCourseChevalHippo,pere,mere,peremere,coteleturf,tempstot,vha,recordG,txreclam,gainsCarriere,gainsVictoires,gainsPlace,gainsAnneeEnCours,gainsAnneePrecedente,jumentPleine,indicateurInedit,handicapDistance,handicapPoids,nbCourseCouple,TxVictCouple,TxPlaceCouple,nbVictCouple,nbPlaceCouple,nbCourseCoupleHippo,TxVictCoupleHippo,TxPlaceCoupleHippo,nbVictCoupleHippo,nbPlaceCoupleHippo
2019-02-17T05:00:00.000Z,Vincennes,undefined,undefined,2270506830,8e,2175,12,Monté,1,47.000 €,Ayuthaya,F,9,44.5,18,39,,,,"1'15""20",,0,0,0,124 590 €,4m4m(18)2m12a,4m 4m (18) 2m 12a 1m 1m Dm 8a 8a 5m 4m Da 1m 2m 2m 4m 8a (17) Da 1m 12a 2m 3a 7a 11a 6m Dm Da Da (16) Da Da Da 9a Da Dm Da 9a Da Da 6m (15) 5a 3m 10a 7a 10a Da Da Da Da Da Da Da Da Da 4a 5a 4a 9a (14) Da Da Aa Da 2a Da Da Da 1a 1a 4a 7a ,4,4,2,12,1,1,Mlle E. Desmigneux,3m 6m 3m 6m Dm 3m 2m 8m 13m 13m 1m 2m 1m 1m Dm Dm 7m 7m 9m 10m 1a Dm 2m 3m 1m 1m 3m 5m 9m 8m 4m 4m 1m (18) Dm 7m 1m Dm 11m 4m Dm 9m 8m 5m Dm 6m 5m Dm Dm 1m 1m 3m Dm 1m Am 8m 1m 12m Dm 5m 3m 6m 9m 3m 1m 7m Dm Dm 2m 4m 9m 1m Dm Dm 1m Dm Dm 8m 2m 1m 2m Dm 1m 1m 10a Dm 9m 3m 3a Dm Dm 6m Dm 3m 6m Dm 9m 11a 5a Dm 11m ,1,1,0,Ch. Bonet,4m 4m (18) 8a 2m 7a 12a Da 1a 1a 1m Da 4a 5a 1m 7a 2a 12a Dm 4a 8a 3a 9a 9a 8a 11a 3a 5m 1a 4m 1a 9a 3a 5a Da Da Da 5a 9a 7a 1a 5a 7a 8a 5a 3a 5a Da Da 1m ,1,1,0,69,6,13,49,8,14,237,26,67,Cagnes-sur-Mer,24.000 €,13,2925,4e,9.50,Mlle M. Blot,Ch. Bonet,mme i. bonet,mme i. bonet,0,,,,,,,,,,,57,0,0,undefined,undefined,11.34,30.93,0,0,97,0,3,Kiwi,Kuala lumpur,,,"2'43""49",,"1'14""7",,12459000,6615000,5844000,408000,5650000,0,0,2175,570,0,0,0,0,0,0,0,0,0,0
2019-02-17T05:00:00.000Z,Vincennes,undefined,undefined,2270506830,4e,2175,12,Monté,2,47.000 €,Bacherra du Moulin,F,8,38.5,16,10,,,,"1'12""40",,0,D4,0,160 550 €,3mDa(18)Da7a,3m Da (18) Da 7a 2m 6a 3a 9a 3a Dm 2a 2a 8m 1m 7a (17) 1m 2m 4m 6a 3a Dm Dm 1m 1m 12a (16) Dm Da 1m 9a 3m 5m Da 1m 3a Da D 2 m Dm (15) 5m 3m Dm 1m Da 3a 3m 1a Da Da Dm (14) 8m Dm 1m 9a 2m Dm 5m 3m ,3,10,10,7,2,6,E. Fournigault,1m Dm 2m 3m 3m Da (18) 6m 5m 4m 8m 8a 10m 4a 7m 2m 9m 4m 2m Dm 4m 6m 8m 9m Da Dm 4m Dm 6m 2m 5a 9a 2m 4m 10a Dm 7m 10a 6m 4m 10a Dm Dm 12m 1m 9m 8a Da 7m 6m 6a 8m 4m 3m 6m 1m Da 8a 4m 5a Dm Dm Dm Da 5m 10a ,1,1,0,E. Fournigault,10a 1m Dm 2m 3m 3m Da Da Da Da (18) 6m 5m Da 5a 4m 8m 8a Da 6a Da 10m 10a 6a 1a 4a 7m 7a 8a 2m Dm 9m 4m 14a 2m 6a Dm 5a 2m 12a 4m 4a 5a 10a 2m 5a 4a 10a 6a 6a 3a 8m 1m 2a 8a 3a 9m 3a Da 6a 8a 1a 6a 9a 4m 6a 6m 2m Da 5a 3a 1a 9a Da 2m 9a 10a Dm 7m 10a 6m 2a 6a 4m Da 9a 2a 10a Dm Da 9a 1m 9a 2a 9m 8a Dm Da Da 3a Da ,1,1,0,56,9,24,121,7,25,65,3,11,Vincennes,45.000 €,11,2850,3e,8.00,E. Fournigault,E. Fournigault,e. fournigault,e. fournigault,0,,,,,,,,,,,67,0,16.67,undefined,undefined,0,11.11,0,50,9,6,2,Hulk des champs,Pearl du moulin,,,"2'37""37",,"1'12""40",,15679000,7335000,8344000,630000,4580000,0,0,2175,670,32,25,50,8,16,2,0,50,0,1
2019-02-17T05:00:00.000Z,Vincennes,undefined,undefined,2270506830,2e,2175,12,Monté,3,47.000 €,Célinia du Pont,F,7,3.9,4,20,,,,"1'12""0",,0,D4,0,184 130 €,Dm(18)7m1m5m,Dm (18) 7m 1m 5m 1m 2m 1m 1m 3m (17) 10a 11m 5m Dm 6m 1m 1m Dm 2m Dm (16) Dm Dm 2m Dm 11a Da Dm 8m Dm 2m 2m 2m Npl.a Da (15) 2m Da 4m 1a 5a Da Da ,10,7,1,5,1,2,A. Abrivard,5a 5a 4m Dm 2 dist.a 1m 7a 8a Da 8a Dm Da 1m 5a Da 5a 8m 16a 7a Da Da 5m 2a Dm 5a Da Dm 4a Da 3m 4m 11a 1a Da 3m 5a 1m 4a Dm Da 11a 4a 9m 5a Da Da 6a Dm 8a Da 2m 1m Dm 12a 6a 7a 1a 7a 10a 1m 2a 3a 11a 1m 1m Dm 15a 3a 4a 5a Dm Dm Dm 7a 10a 12a 1a 2a 4a 2a 14a 4m Dm 6m 2m Dm 7a 9a 6a 1m Da Da 1m 2a 13m 4a 3m Dm Dm 3a ,5,5,1,L.-C. Abrivard,Da 3a Dm 5a 2 dist.a 1m 7a Da 5m Dm Da 5a 2a Da Da 9a 11a 5m Dm 4m 5a 7a 9m 5a Dm 8a 2m 5m 6a 1m Dm 12a 16a 1m Dm Dm 4m 12a 1a 3a 5m Da 12a Dm Dm 6a 1m Da Da 1m 8m 2a 4a 3a 3m 2a 10a Da 9a 5m Dm Da Da Da 7a 8a Da 10a Da Da Da 5a 3a 1m 11m 3a 1a 2a 1m 10m (18) Dm Da Da 2a 2m 7m 3a Da Da Da 8m 4a Dm 2a 2a Da 8a 10m 2a 5m ,3,3,0,40,7,15,812,82,216,1050,130,325,Vincennes,45.000 €,12,2175,dai,21.00,A. Abrivard,L.-C. Abrivard,ecurie augustin-normand,ecurie augustin-normand,0,,,,,,,,,,,67,8.76,23.69,undefined,undefined,10,27.24,16.67,44.44,2651,1735,18,Halimede,Pelinia vetmi,,,"2'36""57",,"1'12""0",,17238000,9630000,7608000,0,7619000,0,0,2175,670,16,25,43.75,4,7,7,14.29,42.86,1,3
2019-02-17T05:00:00.000Z,Vincennes,undefined,undefined,2270506830,dai 4e ,2175,12,Monté,4,47.000 €,Artist Kélau,H,9,80.1,60,15,,,,,,0,D4,0,175 480 €,9m12m15a(18)10m,9m 12m 15a (18) 10m 12a 11m Npl.a 8m 8m 9m 10m Dm 10m 5m (17) 6m 7m 7m 1m 12m 9m 12a 12a 6m Dm Dm Npl.m Dm (16) 7m 3m 4m Dm 8m Npl.a 5m 6m D 1 m 1m Am Dm 7m Dm 2m 1m 2m (15) 1m 2m 1m 1m Dm 5a Dm 4m 5a Da Dm Da Da Da Da Da Da 1a Da 3a 7a 5a 7a 2a Da (14) 5a 6a 9a Da 7a 9m Da 3a Da 10a 7a 6a 3a Npl.a 3a Npl.a 4a Da ,9,12,15,10,12,11,G. Martin,6m Dm 3m Dm 7m 3m 4m 8a 5m 4m 3m Dm 4m Dm 8m 10m 3m Dm Dm Da 9m Dm Dm Dm 5m 2m (18) 5m 4m 9a 3m Dm 3a 4m 5a 7m Da 11m 13m 5m Dm 6m 3m Dm 4m 7m 4m 4m 4m Dm 3a 2m Am 3m 2m Dm 13a 4m Dm 8m 5a 7m 9m 4m 2a 4m 4m 13a 4a Dm 3m 5m Dm Da 14m 5m 9m 3m Dm 5m 4m 8m 1m 10a 1m 8m 6m Dm 4m 1m 2m 8a 3m Am 14a 5a 9a Dm Dm 3m Dm ,2,2,0,M. Bouchez,8a 4a 9m 13a 4a 9m 3a Dm 6a Da 11m 12m 15a (18) 10a 10m 8a 6a 10m Da Dm 15a 10a 9a 6a 12a 8a Dm 11a 7a Da 6a 7a 10m 10a 7a 9a 6a 7a Da Da 13a 8a 9a 3a Da 9a 3a 10a 5a 5a 4a 9a 9m Npl.m 6m 6a 7a 10m 10a Da 4m 12a 5a 6a 7m 10a Da 7m 4a 8a Dm 7a 12a Da Npl.a 9m 9a 6a 8a 10a 8a 6a 10a Da 11a 8a Da 8a 7a Da 8a 2a 6m 4a 8a 7a 7a 6a 6a 9a ,1,1,0,87,7,16,229,2,20,313,27,93,Vincennes,54.000 €,12,2850,9e,108.00,T. Dromigny,M. Bouchez,j.m. giller,j.m. giller,0,,,,,,,,,,,67,5.38,16.13,undefined,undefined,7.47,25.05,12.5,25,455,93,32,Quido du goutier,Pimia josselyn,,,,,"1'12""8",,17548000,10305000,7243000,0,450000,0,0,2175,670,0,0,0,0,0,0,0,0,0,0
2019-02-17T05:00:00.000Z,Vincennes,undefined,undefined,2270506830,dai,2175,12,Monté,5,47.000 €,Coumba Kuky,F,7,8.1,12,14,,,,,,0,D4,0,178 230 €,10a4a(18)2a5a,10a 4a (18) 2a 5a 4a 5a 1a 5a 5a 2a 9a 9a 1a 4a Da 2a 7a (17) 8a 16a 1a Da Da 3a Da 6a 8a 4a Npl.a 1a 8a 2a 2a (16) Npl.a 3a 2a Npl.a 3a Dm Da Da 5a 3a 1a Da 2a Npl.a Da 5a 3 dist.a 1a Da (15) 8m 9a 4a Npl.a 1a Da 5a Da 5a ,10,4,2,5,4,5,D. Thomain,1a 4a 2a Dm 2a 6m 9a 7m 6m Da Da 2a 13a Da 5a 5a 7m Dm Da 3a 2a 6m 4a 10m 8a Da 2a 7a 7a Dm 2a 2a Da 9a 8a Dm Dm 7a 8a 3m 9a Dm 10a Da 11a 4a 5a Dm 6a Da 9a 5a 12a 2a Dm 11a Dm 8a 2a Da 1a 5m 6a 6a Da 11a 1m 4m 2m Da Da 1a 6a 9a Dm 11a Da 4a 5a 3m Da 4m 6m 7a 4a 5m 6m 10a Da Da Dm 4a 6a 11a 8a 1a 2a Da Da Da ,7,7,0,G.-A. Pou Pou,7a 5a Da 8a Da Da 7a 10a 1a 7a 9a 4a 1a 6a 4a 9a 6a Dm 6a Da Da 6a 4a 8a 10a 8a 4a (18) 4a 10a 6a 7a 6a 5a 2a 2a Da 8a 9a Da Da 6a Da 9a 5a Da 13a 7a 3m Dm 3a Dm 4a 4a 9a 2a Da Da 4a 3a 6a 10a Npl.a Dm Da Dm 11a 7a 3a 5a 2m 5a Da 9a 9a 6a Da Da Da Dm 3a 10a 9a Da 3a 1a 9a Da 3a Da 4a 1a 6a 3a 5a 12a 2a 9a 5a 8a 2a ,1,1,0,60,7,18,295,17,69,1238,148,378,Vincennes,45.000 €,18,2850,10e,14.00,G.-A. Pou Pou,G.-A. Pou Pou,g.a. pou pou,g.a. pou pou,0,,,,,,,,,,,67,3.77,16.51,undefined,undefined,9.36,25.48,0,21.74,2822,212,23,Matador de vrie,Indiana de fligny,,,,,"1'11""9",,17823000,6210000,11613000,360000,6304000,0,0,2175,670,5,0,20,0,1,4,0,25,0,1
2019-02-17T05:00:00.000Z,Vincennes,undefined,undefined,2270506830,dai,2175,12,Monté,6,47.000 €,As de Muze,M,9,23.2,17,24,,,,,,0,0,0,180 300 €,10a9aDa(18)6a,10a 9a Da (18) 6a 12a 5a 10a 2m Dm 2m 2a (17) 1m 8a 2a Da 5a 4a Npl.a 4a Npl.a 9a 4a Aa 5a 1a Da 3a 2a Npl.a (16) 2a Da 8a 2a Dm (15) 1a Da 2a Da 10m 2m 10a Da 3a Da Da 3a 3a 1a 1a Da (14) 1a 2a 2a Da 4a 1a Da Da 6a Da Da 1a Da Da ,10,9,10,6,12,5,E. Raffin,1m 7m 2a Da Da 1m Dm Da 2a Dm 2m Dm 6a 4a 3a 5a 9a 1a 3m 5a 2m 2a Dm Da 3 dist.a 3a Dm 2a 3a 1a 7a 5a 6a 5a 9a Da 4m 1a Dm 4a 4m 1m 3a Dm 2a 10a 2a D 7 a D 4 a Da 4a 1a 1m 1a 7a 4m 4m Da 8a 9a 3a Da Da 2a 6a 2a 1m Da 2m 3 dist.a Da 2a 8a 2m 3a 3a 1m 2a 5m 3a 1a 2a 7m Dm Da 5a 2a 2a 2m 1a 11a Da 3a 1m 6m Da 7a Dm Da 2a ,8,8,1,Y. Desmet,1a 4a 4a 10a 8a 7a 3a 10a 8a Dm 1a 1a 3a 5a 3a 9a Da Da (18) 5a Da 4a 2a Da 7a 2a Da Da 4a 1a Da 5a 9a 8a 5a 8a 3a Da 4a 4a 4a Da 7a 3a 3a 3a 1a 3a 3a 7a Da 1a 5a 2a 5a Da 4a 5a 6a 5a 11a 5a 1a 12a 6a 5a 7a 10a Dm Da 4a 2m 6a Da 1a Dm Da 2m 5a 2a Da 1a Da 6a ,2,1,0,64,8,23,83,9,24,1680,259,669,Vincennes,18.000 €,18,2100,10e,60.00,B. Goop,Y. Desmet,y. desmet,y. desmet,0,,,,,,,,,,,67,10.71,35.71,undefined,undefined,12.29,33.85,6.25,31.25,4363,28,16,Jag de bellouet,Obade mancellerie,,,,,"1'12""7",,18030000,8505000,9525000,0,3080000,0,0,2175,670,2,50,100,1,2,2,50,100,1,2
2019-02-17T05:00:00.000Z,Vincennes,undefined,undefined,2270506830,5e,2175,12,Monté,7,47.000 €,Ciroco d'Auvillier,H,7,14.7,11,20,,,,"1'12""40",,0,0,0,183 210 €,3m8a(18)2m1m,3m 8a (18) 2m 1m 3m Da Dm 6a Dm 2m 2m 1m Da 6a 1m 3a 3m 5a (17) 4a Dm Dm 1m 4a 2m 1m Da 1m 4a 3a 3 dpga 7a Da Da Dm Dm Dm 3m (16) 1m Dm 4m 1m D 1 m Da 7a Da Dm 3a Da 4a 6a Da Da Da 6a Da (15) 8a 11a 2a Da Da Da 3a Da 3a 7a Da ,3,8,2,1,3,10,M. Kondritz,4m Dm 7m 5m 3m 5m 3m 9m 8a 5m Dm Dm 10m 10m (18) 2m 6m 2m 3m 7m 3m 1m 3m 1m 3m 8m Dm D 3 m 6a 3m Dm Dm Dm 8m Dm Dm 4m Dm 9m 8m 5m Npl.m 2m 1m Dm Dm 10a Da Npl.m 12a 1m 7m Da 3m 4m 6m Dm 8m Dm 5a 6m 7a 7m Dm Dm 4m 13m 6m 9m Dm 9m 9m 7m 2a 8a 5m 8a 5a 9a 4m Dm 13m Npl.m 3m 11m 7m 7m Da Dm Da 1m Dm 4m Dm 4m Npl.m Npl.m Dm 9a 7m Npl.m ,1,1,0,B. Guillot,3m 8a (18) 2m 1m 3m Da Dm Da 6a 9a Dm 2m 2m 1m Da 6a 1m 3a 3m 5a ,1,1,0,66,8,22,20,3,10,217,6,38,Vincennes,45.000 €,12,2175,3e,20.00,M. Kondritz,B. Guillot,b. guillot,b. guillot,0,,,,,,,,,,,57,5.88,35.29,undefined,undefined,4.55,19.32,5.56,33.33,88,17,18,Ludo de castelle,Pepite de gautiers,,,"2'37""44",,"1'12""40",,18086000,10170000,7916000,630000,9333000,0,0,2175,570,4,25,75,1,3,4,25,75,1,3
2019-02-17T05:00:00.000Z,Vincennes,undefined,undefined,2270506830,3e,2175,12,Monté,8,47.000 €,Crossfire,H,7,2.1,2,20,,,,"1'12""20",,0,0,0,191 480 €,2m(18)2m1m1m,2m (18) 2m 1m 1m 1m 1m 1m 1m 1m 1m 1m 1m (17) D 1 m 1m (16) Da (15) 1m 2m Dm Ah 6h 7p Dm 6p 4m (14) Da 5p 9a Tp Da 3p 8p 3p 8p 12p 7p ,2,2,1,1,1,1,Y. Lebourgeois,2a 1a 2a 2a Aa 4a 4a 7a Dm 1m Dm 6a 6a Da 7a 2a Da Da Dm 3a 4a 7a 2a Da 6a Dm 7a Da 7a 2a Da Da 10a 6a 3a Da 12a 6a 13a 7a 3a 7a 3m 5a 3a 2a 3a 4a 5a 2a 3a 8a 11m Da 7m 2a 2m Da 10a 2m 4a 3m 13a 16a 5m 1a Da 7a 5m Da 1m 3m 2m 3a 1m Da 11a 2a 13a 2m Da 6a 4m Da Da 7a 3a 4a 3a 1a 7a 5a 1a Da 1a Dm 2a 1a Da 1a ,8,8,0,Mlle S.-C. Lepetit,2m (18) 2m 1m 1m 8a 1m 1m 2m 1m 2a 9m 1m 1m 2a Da Da 1m 1m 1m 1m Da ,1,1,0,35,12,17,21,11,16,1558,310,599,Vincennes,45.000 €,12,2175,2e,2.00,Y. Lebourgeois,Mlle S.-C. Lepetit,a. turquet-lepreux,a. turquet-lepreux,0,,,,,,,,,,,67,3.7,13.89,undefined,undefined,15.5,32.8,33.33,55.56,1942,108,9,Prince de charme,Katiana,,,"2'36""93",,"1'12""20",,18490000,15210000,3280000,1125000,14380000,0,0,2175,670,8,87.5,100,7,8,3,66.67,100,2,3
2019-02-17T05:00:00.000Z,Vincennes,undefined,undefined,2270506830,1er,2175,12,Monté,9,47.000 €,Bunker de Retz,H,8,8.1,4,16,,,,"1'11""90",,0,D4,0,207 010 €,7m(18)2m1m1m,7m (18) 2m 1m 1m 7m 2m 1m 12m Da 13a (17) 8m Npl.a 7m 11a 7m 6m (16) Dm 3m 3m 1m 1m 3m Da D 3 m 8m 1 dist.m Dm 4m Dm 2m 7m 12m 4m 1m Dm Dm Da 6m (15) Da 9a Dm 6m 3m 6m D 1 m 2m 3m 2m 10m (14) Dm 2m Dm 1m Dm Dm 8a 1m 9m ,7,2,1,1,7,2,Mlle O. Briand,3m 8m 1m 2m 2m 1m 7m 8m Dm Dm Dm Npl.m 11m 4m Dm 6m (18) 3m 1m Dm 2m 9m 6m 2m 8m Dm 8m 9m 10m Dm 1m 3m Dm Dm 5m Npl.m 11m Dm Dm 5m 1m 1m Dm Dm Dm 2m 2m 6m 1m 1m Dm 2m 8m 3m 3m 2m Dm 2m 6m 7m 3m Dm 2m 2m Dm 1m 6m 3m D 3 m 6m Dm 4m 8m 1m 5m 3m 2m 9m Dm 1m 1m Dm Dm 2m 3m 5m 1m Dm Dm Dm 1m 1m 1m 1m 2m 5m Dm Dm Dm Dm 1m ,1,1,1,Y.-A. Briand,10a 2a Da 1a 1a 4a 5a 4a 2a 3a 7m 10m Da 7a 3m 11a 1a Da 4a 8a Aa Da Da 7a 5a 1a 2a 4a 1a 2a Da 5a 3a 4a 2a Dm 3a 10a 2a 2a 7m 6a 1a Da Da 10a 5a 6a 14a D 1 a Da 4a 3a 12a 3a 2a 12a 1a 4a 2m 1a 9a Da 5a 4a 6a 7m 5a 6a 10a Am D 2 m 3a Da 1a 3a 2a 6a 7a 5a 1a Da 2a 3a 7a 3a 6a 8a 2a 8a 8a 4a 5a 2a 4a 8a 1a Da 7a 9a ,3,3,3,58,8,19,1461,181,466,146,29,63,Cagnes-sur-Mer,27.000 €,12,2925,7e,26.00,C. Toussaint,Y.-A. Briand,ecurie des charmes,ecurie des charmes,0,,,,,,,,,,,57,30.59,48.82,undefined,undefined,10.42,27.08,10.53,31.58,96,170,19,First de retz,Nymphe turgot,,,"2'36""29",,"1'11""90",,18586000,10575000,8011000,27000,6551000,0,0,2175,570,2,50,100,1,2,1,100,100,1,1
2019-02-17T05:00:00.000Z,Vincennes,undefined,undefined,2270506830,NP,2175,12,Monté,10,47.000 €,Castanella,F,7,0,0,10,,,,,,0,D4,0,186 030 €,1m7m15m(18)0a,1m 7m 5h 15m (18) 4h Npl.a 2h 2h 8h 1m 10m 10m 4m 7m (17) 2m 3m 2m 3m 2m Npl.a 3m 4m 8a Da 5m Npl.a Npl.a (16) 5m 1m 3m 1m (15) 1m 1m Da 3a 5a Da 6a ,1,7,5,15,4,10,NP,0,0,0,0,S. Ernault,2a 3m Dm 3a 6a 1m 10m 5a 10a Da 3a 7m 3m 1a 9a 5a 10a Da 1a 11a Da 3m 12a 10a 15m 1a 2m (18) 4a 1m 1a 9m 1m Npl.a Da 11a 8m 2m 4a 2a 2m 9a 1m 5a Da 6a 1a 1a 7m 1a 5a 4m 3a 1a Da 8a 1m 4m 2a 3a 8a 2m Da D 6 a 10a Npl.a 3a 1a 6a Npl.a 1a 4a 7m 4a Da Da 2a Da 2a 5a 5a 4a 2a Da D 2 a 9a 8a 13a 2a 6a 4a 3a 8a 1a 1a 4m 4m 1a 5a 4a 1a ,1,1,0,38,6,16,246,52,103,0,0,0,Vincennes,45.000 €,11,2850,1er,4.00,D. Bonne,S. Ernault,ecurie des charmes,ecurie des charmes,0,,,,,,,,,,,67,15.99,40.82,undefined,undefined,0,0,18.75,50,0,294,16,Rombaldi,Ogata de vandel,,,,,"1'12""9",,18603000,11475000,7128000,2070000,4463000,0,0,2175,670,0,0,0,0,0,0,0,0,0,0
