Field	Type	Null	Key	Default	Extra
id	bigint(11)	NO	PRI	NULL	auto_increment
comp	int(11)	NO	MUL	NULL	
jour	date	NO	MUL	NULL	
hippo	tinytext	NO		NULL	
numcourse	bigint(11)	NO	MUL	NULL	
cl	tinytext	NO		NULL	
dist	smallint(4)	NO	MUL	NULL	
partant	int(11)	NO		NULL	
typec	text	NO		NULL	
cheque	text	NO		NULL	
numero	decimal(2,0)	NO		NULL	
cheval	text	NO	MUL	NULL	
sexe	text	NO		NULL	
age	int(11)	NO		NULL	
cotedirect	decimal(5,2)	NO		NULL	
coteprob	decimal(5,2)	NO		NULL	
recence	int(11)	NO		NULL	
ecurie	text	NO		NULL	
distpoids	text	NO		NULL	
ecar	text	NO		NULL	
redkm	text	NO		NULL	
redkmInt	int(11)	NO		NULL	
handiecords	text	NO		NULL	
corde	decimal(2,0)	NO		NULL	
defoeil	text	NO		NULL	
recul	tinyint(1)	YES		0	
gains	text	NO		NULL	
musiquept	text	NO		NULL	
musiqueche	text	NO		NULL	
m1	int(11)	YES		NULL	
m2	int(11)	YES		NULL	
m3	int(11)	YES		NULL	
m4	int(11)	YES		NULL	
m5	int(11)	YES		NULL	
m6	int(11)	YES		NULL	
jockey	text	NO	MUL	NULL	
musiquejoc	text	NO		NULL	
montesdujockeyjour	text	NO		NULL	
couruejockeyjour	text	NO		NULL	
victoirejockeyjour	text	NO		NULL	
entraineur	text	NO	MUL	NULL	
musiqueent	text	NO		NULL	
monteentraineurjour	int(11)	NO		NULL	
courueentraineurjour	int(11)	NO		NULL	
victoireentraineurjour	int(11)	NO		NULL	
coursescheval	int(11)	NO		NULL	
victoirescheval	int(11)	NO		NULL	
placescheval	int(11)	NO		NULL	
coursesentraineur	int(11)	NO		NULL	
victoiresentraineur	int(11)	NO		NULL	
placeentraineur	int(11)	NO		NULL	
coursesjockey	int(11)	NO		NULL	
victoiresjockey	int(11)	NO		NULL	
placejockey	int(11)	NO		NULL	
dernierhippo	text	YES		NULL	
dernierealloc	text	YES		NULL	
derniernbpartants	text	YES		NULL	
dernieredist	text	YES		NULL	
derniereplace	text	YES		NULL	
dernierecote	text	YES		NULL	
dernierJoc	text	YES		NULL	
dernierEnt	text	YES		NULL	
dernierProp	text	YES		NULL	
proprietaire	text	NO	MUL	NULL	
nbcoursepropjour	int(11)	NO		NULL	
europ	text	NO		NULL	
amat	text	NO		NULL	
arrive	text	NO		NULL	
txrecl	text	NO		NULL	
pays	text	NO		NULL	
meteo	text	NO		NULL	
lice	text	NO		NULL	
natpis	text	NO		NULL	
pistegp	text	NO		NULL	
prix	text	NO		NULL	
poidmont	text	NO		NULL	
pourcVictJock	decimal(5,2)	NO		NULL	
pourcPlaceJock	decimal(5,2)	NO		NULL	
pourcVictCheval	decimal(5,2)	NO		NULL	
pourcPlaceCheval	decimal(5,2)	NO		NULL	
pourcVictEnt	decimal(5,2)	NO		NULL	
pourcPlaceEnt	decimal(5,2)	NO		NULL	
pourcVictEntHippo	decimal(5,2)	NO		NULL	
pourcVictJockHippo	decimal(5,2)	NO		NULL	
pourcPlaceEntHippo	decimal(5,2)	NO		NULL	
pourcPlaceJockHippo	decimal(5,2)	NO		NULL	
pourcVictChevalHippo	decimal(5,2)	NO		NULL	
pourcPlaceChevalHippo	decimal(5,2)	NO		NULL	
nbrCourseJockHippo	int(11)	NO		NULL	
nbrCourseEntHippo	int(11)	NO		NULL	
nbrCourseChevalHippo	int(11)	NO		NULL	
nbCourseCouple	int(11)	NO		NULL	
nbVictCouple	int(11)	NO		NULL	
nbPlaceCouple	int(11)	NO		NULL	
TxVictCouple	decimal(5,2)	NO		NULL	
TxPlaceCouple	decimal(5,2)	NO		NULL	
nbCourseCoupleHippo	int(11)	NO		NULL	
nbVictCoupleHippo	int(11)	NO		NULL	
nbPlaceCoupleHippo	int(11)	NO		NULL	
TxVictCoupleHippo	decimal(5,2)	NO		NULL	
TxPlaceCoupleHippo	decimal(5,2)	NO		NULL	
pere	text	NO		NULL	
mere	text	NO		NULL	
peremere	text	NO		NULL	
coteleturf	text	NO		NULL	
commen	text	NO		NULL	
gainsCarriere	int(11)	NO		NULL	
gainsVictoires	int(11)	NO		NULL	
gainsPlace	int(11)	NO		NULL	
gainsAnneeEnCours	int(11)	NO		NULL	
gainsAnneePrecedente	int(11)	NO		NULL	
jumentPleine	tinyint(1)	NO		NULL	
engagement	tinyint(1)	NO		NULL	
handicapDistance	int(11)	NO		NULL	
handicapPoids	int(11)	NO		NULL	
indicateurInedit	tinyint(1)	NO		NULL	
tempstot	text	NO		NULL	
vha	text	NO		NULL	
recordG	text	YES		NULL	
txreclam	text	NO		NULL	
createdat	timestamp	NO		CURRENT_TIMESTAMP	on update CURRENT_TIMESTAMP
updatedat	timestamp	NO		0000-00-00 00:00:00	
rangTxVictJock	int(11)	NO		NULL	
rangTxVictCheval	int(11)	NO		NULL	
rangTxVictEnt	int(11)	NO		NULL	
rangTxPlaceJock	int(11)	NO		NULL	
rangTxPlaceCheval	int(11)	NO		NULL	
rangTxPlaceEnt	int(11)	NO		NULL	
rangRecordG	int(11)	NO		NULL	
