Field	Type	Null	Key	Default	Extra
id	bigint(11)	NO	PRI	NULL	auto_increment
comp	int(11)	NO		NULL	
jour	varchar(255)	YES		NULL	
heure	time	YES		NULL	
hippo	varchar(255)	YES		NULL	
reun	varchar(255)	YES		NULL	
prix	double	YES		NULL	
prixnom	varchar(255)	YES		NULL	
meteo	varchar(255)	YES		NULL	
typec	varchar(255)	YES		NULL	
partant	varchar(255)	YES		NULL	
handi	varchar(255)	YES		NULL	
reclam	varchar(255)	YES		NULL	
dist	varchar(255)	YES		NULL	
groupe	varchar(255)	YES		NULL	
sex	varchar(255)	YES		NULL	
corde	varchar(255)	YES		NULL	
age	varchar(255)	YES		NULL	
autos	varchar(255)	YES		NULL	
cheque	varchar(255)	YES		NULL	
europ	varchar(255)	YES		NULL	
quinte	double	YES		NULL	
natpis	varchar(255)	YES		NULL	
amat	varchar(255)	YES		NULL	
courseabc	varchar(255)	YES		NULL	
pistegp	varchar(255)	YES		NULL	
arriv	varchar(255)	YES		NULL	
lice	varchar(255)	YES		NULL	
temperature	int(11)	YES		NULL	
forceVent	int(11)	YES		NULL	
directionVent	varchar(6)	NO		NULL	
nebulositeLibelleCourt	mediumtext	NO		NULL	
condi	varchar(255)	YES		NULL	
url	mediumtext	NO		NULL	
tempscourse	mediumtext	NO		NULL	
updatedAt	timestamp	YES		NULL	
createdAt	timestamp	YES		CURRENT_TIMESTAMP	
